Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M274T2886,0.20243,-0.07287,0.99981,16576.92108,"[-0.18663777835315165, 0.04090745614641332]",0.28073,0.25059,0.99982,15384.30249,"[-0.21347825117935143, 0.7146586173642744]",0.32128,1.62855,0.99983,14290.34029,Non classé
M274T3019,0.21505,-0.09201,0.99981,16537.18103,"[-0.23979623871844627, 0.05578070376178837]",0.02663,1.31617,0.99984,17057.74364,"[0.16148609313077733, 2.4708522386670198]",0.14170,-9.57128,0.99985,16393.97434,Transitoire
M275T2886,0.81460,0.03418,0.99981,15879.09080,"[-0.259074992320598, 0.32744161233845387]",0.76902,0.68022,0.99981,14296.15910,"[-3.9822504344402496, 5.342690551370552]",0.05136,87.32472,0.99983,14407.46562,Non classé
M275T3019,0.78472,0.04178,0.99981,15887.63548,"[-0.26586661189838, 0.3494268757076614]",0.64439,-1.79940,0.99981,14355.04197,"[-9.63938334785917, 6.040586276695219]",0.13282,133.60637,0.99982,13836.48753,Non classé
M279T598,0.81974,0.03488,0.99981,15877.75801,"[-0.2730521038392282, 0.34280966643712363]",0.71922,-1.59677,0.99981,14312.28720,"[-10.534437902739485, 7.340906528106084]",0.21159,161.10622,0.99982,13518.70025,Non classé
M285T1272,0.86436,0.02575,0.99981,15867.86522,"[-0.27756006441410747, 0.32906042637811544]",0.58432,-1.84331,0.99981,14372.06018,"[-8.615079125572802, 4.928464541091795]",0.40325,65.80009,0.99981,13240.20577,Non classé
M287T1544,0.06409,0.16722,0.99982,17416.49878,"[-0.010301122538586088, 0.34473491620406826]",0.14148,3.19133,0.99983,16624.40586,"[-1.1140231444088338, 7.496674033421201]",0.54430,28.15575,0.99984,15168.93063,Non classé
M287T1410,0.94470,0.00841,0.99981,15857.27313,"[-0.23546739142292036, 0.25227830193045153]",0.00408,-7.83080,0.99985,17965.07211,"[-13.008196829983309, -2.6534129980298182]",0.89773,-9.93101,0.99985,16226.23619,Non classé
M289T2326,0.23689,-0.06824,0.99981,16474.72239,"[-0.1832489784724065, 0.04676511836786046]",0.28123,-0.32737,0.99982,15288.42084,"[-0.9342751752028589, 0.2795281771180127]",0.00942,4.84533,0.99985,16779.65805,Recyclé
M289T1541,0.00045,0.01239,0.99986,22221.97804,"[0.005874918544007851, 0.018898674063824915]",0.00453,0.00300,0.99989,25043.73199,"[0.0009909424212831497, 0.00500873138648896]",0.28252,0.00061,0.99989,23378.56741,"Produit,Transitoire"
M289T1145,0.00000,0.02840,0.99990,30223.02703,"[0.018459704575521343, 0.038335431677235104]",0.11507,0.00888,0.99990,29110.72931,"[-0.002271522383638286, 0.020026902824111896]",0.29338,-0.00829,0.99991,27135.09484,Produit
M289T2557,0.30517,-0.03332,0.99981,16318.60857,"[-0.0982601419152988, 0.03161094985513618]",0.87253,-0.03369,0.99981,14666.84630,"[-0.4565294045419344, 0.38914929030117446]",0.44020,0.91776,0.99981,13471.54979,Non classé
M289T2483,0.00918,-0.03169,0.99984,19094.81145,"[-0.05505180979312581, -0.008335880190810704]",0.09749,0.01037,0.99985,18528.79658,"[-0.0019910725972393795, 0.022728482638977948]",0.25384,0.00612,0.99986,17370.75730,Substrat
M289T1410,0.82735,0.00727,0.99981,15875.86136,"[-0.0597870947705665, 0.07432569025060305]",0.01638,-0.20268,0.99983,16770.83443,"[-0.3659107285725308, -0.039452072251571074]",0.71611,0.16847,0.99984,15198.48833,Non classé
M290T2326,0.28139,-0.21563,0.99981,16367.35473,"[-0.6153101352881624, 0.18404782860365143]",0.35143,3.58840,0.99982,15063.99090,"[-4.120435033948081, 11.297243441417447]",0.03130,272.63525,0.99984,15555.35957,Recyclé
M290T2482,0.40624,-0.05434,0.99981,16157.69203,"[-0.18538243983642058, 0.0767105841141629]",0.50874,0.19682,0.99981,14691.30420,"[-0.40123115324268055, 0.7948738698323322]",0.08702,3.23133,0.99983,14437.97243,Non classé
