Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M341T1107,0.46654,5.69732,0.91356,12.97142,"[-10.13037984137446, 21.52501359903924]",0.00775,-110.99896,0.93453,16.13705,"[-190.06126345824651, -31.9366523121207]",0.09165,-955.18188,0.94171,16.82833,Non classé
M341T898,0.00001,-16.73725,0.95799,27.98321,"[-23.042149695832478, -10.432344976703435]",0.00003,-47.66005,0.97866,51.83241,"[-67.18317098114589, -28.13693492564337]",0.81142,36.77249,0.97871,47.87574,Substrat
M341T628,0.47025,4.26255,0.91354,12.96672,"[-7.679438751556076, 16.204536542095468]",0.51876,-38.53664,0.91494,12.15875,"[-159.62941184894157, 82.55613909352716]",0.01259,-1068.17763,0.93401,14.74420,Non classé
M343T812,0.56334,3.26450,0.91292,12.86670,"[-8.183456457467939, 14.712448101420167]",0.04732,208.21528,0.92537,14.01585,"[2.6499089282778243, 413.78065140711635]",0.44936,2255.66629,0.92709,13.24500,Transitoire
M343T576,0.58589,2.40430,0.91280,12.84696,"[-6.542392788178612, 11.350990369863775]",0.21683,58.20046,0.91786,12.63207,"[-36.31600610267396, 152.71692149835417]",0.78352,-283.54262,0.91811,11.67926,Non classé
M343T1091,0.73837,1.61726,0.91219,12.74894,"[-8.215567596195074, 11.450080449021664]",0.06975,148.50244,0.92281,13.51443,"[-12.879236750865402, 309.884111853843]",0.57662,1298.37717,0.92379,12.62596,Non classé
M343T2402,0.18714,6.49336,0.91742,13.63444,"[-3.35075368110751, 16.337479814530493]",0.31855,-114.85189,0.92058,13.10311,"[-346.99924461164835, 117.29547060625806]",0.30772,-3452.28022,0.92388,12.64300,Non classé
M345T514,0.04320,6.82185,0.92442,15.01031,"[0.22416574482232132, 13.41954387551501]",0.11483,-40.64374,0.93144,15.35719,"[-91.84933580979965, 10.56186432154847]",0.01140,-504.49499,0.94719,18.68439,Produit
M345T2402,0.83517,1.27827,0.91196,12.71299,"[-11.205907492975241, 13.76245371273596]",0.24931,157.45151,0.91643,12.39566,"[-117.19590384523809, 432.09891830589214]",0.36518,3573.08336,0.91918,11.84639,Non classé
M346T513,0.62485,-3.02763,0.91261,12.81636,"[-15.586345257820682, 9.531077973736672]",0.66703,54.80236,0.91324,11.89930,"[-204.05319156923971, 313.65791116992887]",0.91893,314.86580,0.91328,10.96998,Non classé
M347T1145,0.23072,-6.85407,0.91647,13.46525,"[-18.323279677315636, 4.6151421117355556]",0.33901,268.22899,0.91941,12.89661,"[-297.8189284810887, 834.2769174158386]",0.13009,12235.05564,0.92660,13.15064,Non classé
M347T1542,0.01138,-9.63891,0.93074,16.49330,"[-16.920077427078184, -2.3577362783766125]",0.43345,-70.24159,0.93239,15.58931,"[-251.7104233310476, 111.22725061126665]",0.57116,2038.75488,0.93327,14.56812,Substrat
M349T1541,0.15190,-8.69577,0.91839,13.81099,"[-20.795963809963453, 3.404418892973295]",0.60792,95.38987,0.91923,12.86493,"[-282.16639709917047, 472.94612850586793]",0.19091,13928.81539,0.92467,12.78696,Non classé
M351T1670,0.00001,6.43642,0.95653,27.00746,"[3.9305679958952116, 8.942269040510109]",0.70230,-2.71872,0.95678,25.02583,"[-17.17929038538313, 11.741841924675782]",0.28355,-73.66936,0.95876,24.21864,Produit
M351T1442,0.00000,3.54621,0.96079,30.07575,"[2.293323913693908, 4.799091091524511]",0.00000,-6.60508,0.98849,97.11944,"[-8.321126056396741, -4.889039265921378]",0.00121,11.22636,0.99249,137.70824,"Produit,Recyclé"
M351T1172,0.77747,0.34689,0.91208,12.73224,"[-2.146462677726291, 2.8402337229681955]",0.68018,4.72356,0.91267,11.81355,"[-18.566553759906338, 28.013683673765296]",0.67115,-47.70722,0.91331,10.97394,Non classé
M352T1541,0.03350,-12.41655,0.92564,15.27745,"[-23.78822839418951, -1.044870222699215]",0.82892,46.04732,0.92578,14.09984,"[-387.594303172997, 479.68893836500865]",0.10914,14338.25569,0.93316,14.54202,Substrat
M352T1442,0.19989,5.25639,0.91712,13.58026,"[-2.95139624491458, 13.464170712352601]",0.96065,2.15376,0.91713,12.51001,"[-86.72643075187544, 91.03396056874415]",0.57475,-488.63384,0.91818,11.69016,Non classé
M352T2292,0.15953,4.98247,0.91816,13.76886,"[-2.0847604865638267, 12.049693169899127]",0.25368,40.14165,0.92224,13.40633,"[-30.54471043162046, 110.82801324849878]",0.12421,-1011.28566,0.92938,13.70966,Non classé
M353T1169,0.88847,-0.00468,0.91188,12.70057,"[-0.07245790296039803, 0.06310471886019564]",0.07322,0.01232,0.92230,13.41831,"[-0.0012443966391182653, 0.025889005979556352]",0.15133,-0.00185,0.92856,13.53944,Non classé
M353T1476,0.85288,-0.05229,0.91193,12.70830,"[-0.6252917269460567, 0.5207192138304728]",0.80253,-0.14964,0.91215,11.73707,"[-1.3670721352095025, 1.0677960205179606]",0.31076,1.52304,0.91576,11.32307,Non classé
M353T1242,0.00002,-0.85717,0.95493,26.00014,"[-1.2032912691078876, -0.5110582931894483]",0.04491,-0.10474,0.96150,28.23131,"[-0.20692368425978325, -0.0025649089354566335]",0.33127,0.04536,0.96295,27.07688,Substrat
M353T2402,0.00157,1.25570,0.93950,19.05912,"[0.5227148573651087, 1.9886804552099724]",0.01776,-1.02217,0.95146,22.15893,"[-1.8523396687768985, -0.19200883370077293]",0.02218,-1.94177,0.96079,25.52450,Produit
M354T1169,0.71181,-0.07973,0.91227,12.76208,"[-0.5178880911607866, 0.358434051906713]",0.11595,0.40853,0.92037,13.06582,"[-0.10783434453623247, 0.9249030977750947]",0.17129,-0.41949,0.92623,13.07797,Non classé
M354T1476,0.64546,-0.73898,0.91252,12.80183,"[-3.9977667679531343, 2.519806482346092]",0.91279,-2.37411,0.91256,11.79778,"[-46.500762191008334, 41.752533256816164]",0.45935,269.32169,0.91449,11.14049,Non classé
