Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M452T1409,0.55565,-0.05426,0.99981,14938.50530,"[-0.239263498485029, 0.1307374394311975]",0.01019,-2.31580,0.99985,16329.49467,"[-4.046631154641702, -0.5849642983647385]",0.06884,33.04058,0.99986,16343.00912,Non classé
M453T1169,0.17513,0.18629,0.99982,15579.37139,"[-0.08685764529933065, 0.4594278574298781]",0.92346,0.23457,0.99982,14068.47367,"[-4.686728051794504, 5.155877000118623]",0.85156,-10.49731,0.99982,12768.75754,Non classé
M453T2525,0.00000,0.53788,0.99993,37229.79950,"[0.3902346854734826, 0.6855183189206049]",0.02449,0.54935,0.99994,38918.02947,"[0.07496641230098694, 1.0237253740139893]",0.53445,1.77933,0.99994,35694.50933,"Produit,Transitoire"
M454T1170,0.59342,-0.02698,0.99981,14912.33232,"[-0.12855665147283363, 0.074596601031156]",0.44744,-0.26999,0.99982,13689.63435,"[-0.9833499440924932, 0.4433766704761496]",0.73458,2.31978,0.99982,12454.60148,Non classé
M455T2721,0.03316,-0.06871,0.99984,16809.90856,"[-0.13162183734009883, -0.005804453352358879]",0.10672,0.14043,0.99985,16364.42662,"[-0.0317550937048065, 0.3126107549980898]",0.06227,0.53752,0.99986,16459.06360,Substrat
M455T2485,0.87184,-0.00842,0.99981,14803.91828,"[-0.11357540371427395, 0.09672706485519929]",0.51842,0.19083,0.99982,13527.18960,"[-0.4030007142319415, 0.7846518847536518]",0.36023,2.03178,0.99982,12574.98584,Non classé
M456T2721,0.21707,-0.12040,0.99982,15441.81483,"[-0.3147423463875447, 0.07395194789335188]",0.09390,1.69315,0.99983,15121.76445,"[-0.30298859396133904, 3.689297108976021]",0.04508,31.07135,0.99985,15456.15918,Recyclé
M457T1392,0.93393,-0.01171,0.99981,14795.93242,"[-0.29611404651339923, 0.27269992687014233]",0.24673,3.18459,0.99982,13887.17870,"[-2.303349819672424, 8.672520554097705]",0.42955,61.15923,0.99982,12827.79759,Non classé
M457T3018,0.14451,-0.25153,0.99982,15707.49580,"[-0.5935321791742382, 0.09046738959176925]",0.00119,10.50448,0.99987,19225.92000,"[4.460989889484099, 16.547978475087117]",0.09456,-125.32810,0.99988,18948.06945,Transitoire
M457T1582,0.01167,-0.23880,0.99984,17695.42113,"[-0.4210471588588256, -0.0565504433566886]",0.43148,0.65149,0.99985,16264.17511,"[-1.0103536494320937, 2.3133244489900053]",0.18832,17.58740,0.99985,15528.03659,Substrat
M457T2485,0.60035,-0.06178,0.99981,14907.89179,"[-0.29884314411112717, 0.17527742194304347]",0.08113,4.10020,0.99983,14699.09763,"[-0.5344393296114545, 8.73484620835577]",0.88209,-10.61048,0.99983,13335.93636,Non classé
M457T1204,0.67043,0.05637,0.99981,14868.73243,"[-0.21005967217184895, 0.3227910022911499]",0.08548,2.66239,0.99983,14624.61823,"[-0.3916199125719655, 5.716394152967041]",0.20176,36.12705,0.99984,13920.60744,Non classé
M457T1032,0.46915,-0.07946,0.99982,15013.04398,"[-0.29974633162851083, 0.1408209649344944]",0.91936,0.13685,0.99982,13557.46996,"[-2.587636153840525, 2.8613405651536894]",0.08778,-46.85928,0.99983,13409.41099,Non classé
M458T1032,0.81761,-0.04195,0.99981,14815.24934,"[-0.4081372932642246, 0.32424456522722983]",0.82262,-1.14752,0.99981,13394.37640,"[-11.46155008989899, 9.166517789137975]",0.75715,-71.36565,0.99981,12178.94985,Non classé
M459T1173,0.29495,-0.15860,0.99982,15257.29692,"[-0.46124033222466015, 0.14404843705415776]",0.70413,-1.22929,0.99982,13831.64788,"[-7.74743553906774, 5.288850173010299]",0.56163,52.79069,0.99982,12667.45073,Non classé
M460T1476,0.85398,-0.03574,0.99981,14807.18973,"[-0.4268320700341959, 0.3553428861886876]",0.42397,-6.70451,0.99982,13617.62463,"[-23.528520229165053, 10.119504325114917]",0.71431,-188.02061,0.99982,12396.13977,Non classé
