Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M179T1240,0.00000,13.41315,0.69569,7.89745,"[8.747432779642192, 18.078865444707784]",0.02511,-39.92145,0.73476,8.54124,"[-74.57050556074292, -5.272391690572391]",0.94356,14.70522,0.73479,7.67261,Produit
M186T1722,0.00511,19.07311,0.53301,3.94291,"[6.082000145366427, 32.06422432720395]",0.02570,396.42240,0.59251,4.48339,"[50.8667887678738, 741.9780095676726]",0.70002,-2573.73683,0.59421,4.05514,"Produit,Transitoire"
M187T2869,0.00000,12.09200,0.82404,16.17796,"[9.456868123021692, 14.72712885809878]",0.00009,-45.75186,0.88444,23.59849,"[-66.83174512343376, -24.671970413736823]",0.11437,149.38740,0.89228,22.93737,Produit
M187T2483,0.00001,23.48942,0.65736,6.62756,"[14.133143899431547, 32.84569781877823]",0.36679,108.66513,0.66492,6.11843,"[-132.3069223554645, 349.6371907680213]",0.18133,-4772.31557,0.68136,5.92166,Produit
M190T2330,0.00085,20.77903,0.57219,4.62045,"[9.16718357629473, 32.39087746665184]",0.02631,318.46618,0.62629,5.16727,"[39.648322512993104, 597.2840376348933]",0.27632,-4664.37934,0.63856,4.89239,"Produit,Transitoire"
M191T1476,0.00912,-6.26573,0.51987,3.74052,"[-10.881319740120585, -1.6501423605204844]",0.15221,33.74998,0.54609,3.70951,"[-13.027800754834232, 80.52776523218799]",0.39223,264.82204,0.55535,3.45871,Substrat
M191T1169,0.00010,-0.56019,0.61531,5.52555,"[-0.8213628823195974, -0.2990112390010239]",0.03320,0.22785,0.66025,5.99196,"[0.01916129628833707, 0.4365330412939042]",0.16821,0.13973,0.67794,5.82932,"Substrat,Transitoire"
M191T1578,0.00000,11.63172,0.84076,18.24003,"[9.269304050381884, 13.994138129824254]",0.01898,-14.71061,0.86304,19.43012,"[-26.859556013232698, -2.561664488316447]",0.00353,-119.26820,0.89224,22.92838,Produit
M192T1169,0.00575,-6.96596,0.53033,3.90071,"[-11.784063663946059, -2.147866253008246]",0.03297,50.54308,0.58533,4.35237,"[4.3164128678067115, 96.76974718428983]",0.14558,457.36905,0.60935,4.31947,"Substrat,Transitoire"
M193T2482,0.00010,16.53273,0.61622,5.54671,"[8.851912877790166, 24.213541830069193]",0.00768,-173.10978,0.68410,6.67721,"[-297.49855394311066, -48.721005068590344]",0.41639,-1275.64671,0.68992,6.16159,Produit
M193T1169,0.58678,3.85874,0.42897,2.59508,"[-10.391722548802779, 18.109197397455397]",0.34535,136.71479,0.44273,2.44956,"[-153.08850344481965, 426.5180781158302]",0.63939,-2065.88465,0.44616,2.23085,Non classé
M200T2624,0.01606,17.26636,0.50686,3.55063,"[3.3954295332940188, 31.137287592107462]",0.01321,467.15963,0.58320,4.31422,"[103.54401681012558, 830.7752404381686]",0.55689,3716.16087,0.58723,3.93963,"Produit,Transitoire"
M201T1169,0.00082,32.11591,0.57289,4.63370,"[14.225841488871765, 50.005987744542196]",0.26844,404.96809,0.58698,4.38209,"[-325.34289725065247, 1135.2790839365166]",0.73405,-6114.40990,0.58833,3.95751,Produit
M201T1241,0.00046,19.72904,0.58481,4.86579,"[9.303678418055645, 30.154399222383155]",0.35759,124.75060,0.59432,4.51712,"[-146.57858125885377, 396.0797760733674]",0.01825,-8934.62664,0.65324,5.21668,Produit
M203T2482,0.00000,12.99779,0.74683,10.19082,"[9.215202849527369, 16.780384640127835]",0.49804,-20.56393,0.75000,9.24990,"[-81.45205441764406, 40.32418947807767]",0.82892,93.73474,0.75033,8.32218,Produit
M203T1541,0.00000,-14.14983,0.75676,10.74752,"[-18.125439976922305, -10.174213385326334]",0.00327,-116.70736,0.80808,12.98236,"[-191.8845839950621, -41.53013990328962]",0.02467,1928.94641,0.83351,13.86355,"Substrat,Recyclé"
M203T2326,0.00001,30.60720,0.66414,6.83104,"[18.708868701647887, 42.505521707874415]",0.03518,307.88339,0.70257,7.28322,"[22.576312667105128, 593.1904647442602]",0.13888,-5352.70619,0.72036,7.13370,"Produit,Transitoire"
M203T1145,0.04725,-12.59901,0.48180,3.21183,"[-25.03679640237199, -0.16123068882647296]",0.20688,-314.54628,0.50392,3.13211,"[-810.6425460665075, 181.54998074144078]",0.75348,-2536.97900,0.50530,2.82856,Substrat
M205T2482,0.00000,16.43910,0.67284,7.10462,"[10.243321916298463, 22.634872157278814]",0.14027,-104.85570,0.69176,6.91977,"[-245.8229756582756, 36.11156660360008]",0.97576,55.13681,0.69177,6.21508,Produit
M205T1543,0.00460,-14.43781,0.53534,3.98008,"[-24.143307967595383, -4.732308625165702]",0.00140,-657.99017,0.64870,5.69366,"[-1043.8311915705165, -272.1491536503597]",0.42366,-3619.81124,0.65498,5.25706,Substrat
M209T2869,0.00000,22.72518,0.67237,7.08956,"[14.146032939124117, 31.304328199862816]",0.42657,84.91205,0.67800,6.49213,"[-129.09636957295987, 298.92046210107844]",0.57628,-1757.99454,0.68082,5.90675,Produit
M214T3075,0.01207,17.17627,0.51344,3.64535,"[3.986467715888793, 30.36608078465091]",0.03338,386.15003,0.57017,4.09008,"[32.10410396283282, 740.1959589738641]",0.63025,3337.95192,0.57297,3.71560,"Produit,Transitoire"
M216T1376,0.01017,18.84407,0.51737,3.70317,"[4.740204136400525, 32.94792930817722]",0.01305,495.55815,0.59232,4.47984,"[110.58454602073039, 880.5317623271272]",0.65345,3157.76787,0.59463,4.06215,"Produit,Transitoire"
M218T603,0.00000,25.11754,0.68009,7.34381,"[15.889996796259306, 34.34509019446791]",0.76735,40.92826,0.68085,6.57781,"[-237.3255641835289, 319.18208431422926]",0.00266,-17255.80540,0.75249,8.41898,Produit
M221T1541,0.02786,-14.15723,0.49408,3.37369,"[-26.689445686265145, -1.6250161599189337]",0.14099,-293.07104,0.52324,3.38391,"[-687.8168959135976, 101.6748176423419]",0.80376,1243.81465,0.52407,3.04930,Substrat
M223T1215,0.00000,18.96952,0.70367,8.20319,"[12.551879415097114, 25.3871649561248]",0.98096,1.48163,0.70367,7.32187,"[-123.44029088167792, 126.40354612617298]",0.00549,-4000.14026,0.76151,8.84235,Produit
M227T486,0.00044,20.16300,0.58576,4.88501,"[9.552231350687611, 30.773770635212813]",0.15150,164.92542,0.60846,4.79156,"[-63.25470691529134, 393.1055446185027]",0.06672,-6515.37239,0.64383,5.00582,Produit
