Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M502T2483,0.52404,-0.08159,0.99990,11189.11753,"[-0.3412560668532732, 0.17808223556773456]",0.02687,4.13804,0.99992,12591.56613,"[0.51406063767572, 7.7620190716170105]",0.82956,-9.32528,0.99992,11627.28962,Transitoire
M502T1232,0.51345,-0.11595,0.99990,11198.38330,"[-0.4756728134417618, 0.24377423724054426]",0.70145,1.08594,0.99990,10381.10075,"[-4.681451440005879, 6.853332704983855]",0.01511,208.56367,0.99992,12297.71004,Recyclé
M503T3019,0.46404,-0.03888,0.99990,11246.38245,"[-0.1464200965827012, 0.06865935618556154]",0.37389,0.21972,0.99990,10703.10313,"[-0.2800783815741606, 0.7195168246469079]",0.11866,-2.57923,0.99991,10940.49420,Non classé
M503T2903,0.18913,-0.17530,0.99990,11782.72911,"[-0.4425045630949718, 0.09190929234794504]",0.07507,-2.21555,0.99992,12355.93292,"[-4.6722241085137295, 0.2411143571128389]",0.78160,-6.65718,0.99992,11424.52563,Non classé
M504T2483,0.07063,-0.03206,0.99991,12517.86795,"[-0.0670076646611549, 0.002896525574038876]",0.90804,-0.00451,0.99991,11541.17782,"[-0.08403994811224076, 0.07502726068230404]",0.00421,0.14330,0.99994,15068.11661,Recyclé
M504T3018,0.01876,-0.25550,0.99992,13674.74537,"[-0.4649869323607127, -0.04601027495374682]",0.05791,4.98016,0.99993,14592.31506,"[-0.1802534488426124, 10.140576643698772]",0.74493,30.37931,0.99993,13508.97386,Substrat
M505T2482,0.61747,-0.02567,0.99990,11120.66980,"[-0.1300697296341693, 0.07872374988308241]",0.32960,0.31478,0.99990,10652.69484,"[-0.33723025352384983, 0.9667826006083517]",0.00088,11.45042,0.99994,15717.37407,Recyclé
M505T3017,0.10214,-0.29225,0.99991,12228.54143,"[-0.6467979427601835, 0.06229356249712076]",0.14169,7.77398,0.99992,12306.32648,"[-2.7768216168034723, 18.324774132992047]",0.88254,-44.94634,0.99992,11352.04921,Non classé
M505T2703,0.50186,-0.08086,0.99990,11208.91167,"[-0.3248895711012387, 0.1631787637914679]",0.35211,0.81293,0.99990,10700.20843,"[-0.9528141887113117, 2.578669810367476]",0.30208,14.74533,0.99991,10318.40578,Non classé
M506T2482,0.03488,-0.27207,0.99991,13111.77834,"[-0.523278215720953, -0.02085838656418698]",0.03664,3.92669,0.99993,14438.48981,"[0.263998655471851, 7.589386148611134]",0.30690,49.16236,0.99993,13910.82604,"Substrat,Transitoire"
M507T2483,0.27594,-0.14668,0.99990,11537.06437,"[-0.4175980194311577, 0.12424073478329967]",0.46598,1.93407,0.99990,10864.22202,"[-3.4461374838762513, 7.314272299292815]",0.29927,-90.46113,0.99991,10482.10826,Non classé
M509T2483,0.00225,-0.06973,0.99993,15877.14701,"[-0.11202114221296516, -0.027433710991876907]",0.87607,0.00383,0.99993,14644.91325,"[-0.04619258131037726, 0.05384585615570012]",0.92519,-0.00402,0.99993,13501.81540,Substrat
M509T2149,0.03768,-0.35891,0.99991,13044.26386,"[-0.6957555292323763, -0.022055057137090606]",0.39515,-2.55360,0.99992,12379.90244,"[-8.632184177345657, 3.524991178131281]",0.81562,15.18813,0.99992,11435.74330,Substrat
M510T2482,0.45676,-0.04571,0.99990,11254.19376,"[-0.17009316976719174, 0.0786664415322534]",0.31189,-0.49202,0.99990,10812.40420,"[-1.4737988728283054, 0.4897610984964349]",0.72547,1.92715,0.99990,10017.12892,Non classé
